epoch,train_loss,val_loss,iou_background,iou_crop,iou_weed,miou
1,0.776,0.5107,0.7609,0.571,0.1715,0.5011
2,0.5191,0.4415,0.8879,0.6642,0.3182,0.6234
3,0.4262,0.3601,0.9074,0.7284,0.3881,0.6747
4,0.3563,0.3922,0.9007,0.735,0.2805,0.6387
5,0.3026,0.2695,0.9252,0.8532,0.3823,0.7202
6,0.2552,0.2636,0.9511,0.8199,0.5261,0.7657
7,0.2606,0.244,0.9222,0.8258,0.3902,0.7127
8,0.2407,0.2187,0.9291,0.8291,0.421,0.7264
9,0.2119,0.2157,0.9296,0.8335,0.412,0.725
10,0.1944,0.2035,0.9307,0.8669,0.411,0.7362
11,0.1749,0.1927,0.9443,0.852,0.4925,0.763
12,0.1744,0.1951,0.939,0.8505,0.46,0.7498
13,0.1699,0.1874,0.9472,0.8616,0.4957,0.7682
14,0.16,0.1813,0.9436,0.8551,0.4829,0.7605
15,0.1521,0.1888,0.9456,0.8557,0.492,0.7644
16,0.2077,0.2929,0.8482,0.8523,0.2098,0.6368
17,0.1791,0.1741,0.9431,0.8603,0.4703,0.7579
18,0.1639,0.1771,0.9431,0.8548,0.4849,0.7609
19,0.1362,0.1853,0.9452,0.8651,0.4777,0.7627
20,0.1334,0.1794,0.9461,0.8572,0.4994,0.7676
21,0.1309,0.1765,0.9465,0.8686,0.4902,0.7684
22,0.1203,0.179,0.9424,0.8285,0.4947,0.7552
23,0.1324,0.191,0.933,0.8452,0.4369,0.7384
24,0.1304,0.1842,0.9433,0.8645,0.4586,0.7555
25,0.1258,0.1731,0.9458,0.865,0.4717,0.7608
