epoch,train_loss,val_loss,iou_background,iou_crop,iou_weed,miou
1,0.7633,0.6268,0.9382,0.7695,0.4184,0.7087
2,0.5052,0.4178,0.945,0.8264,0.4661,0.7458
3,0.4159,0.3876,0.9636,0.817,0.5292,0.77
4,0.3646,0.3144,0.9633,0.8745,0.5653,0.801
5,0.3209,0.3242,0.9642,0.8427,0.5858,0.7976
6,0.2633,0.2544,0.9706,0.8885,0.6298,0.8296
7,0.2601,0.26,0.97,0.8724,0.5893,0.8106
8,0.2366,0.2335,0.9711,0.8779,0.6212,0.8234
9,0.2258,0.2185,0.9715,0.8888,0.6215,0.8273
10,0.2059,0.2024,0.9718,0.8946,0.6466,0.8376
11,0.1976,0.1984,0.9718,0.8939,0.6413,0.8357
12,0.1827,0.1923,0.972,0.8946,0.6506,0.8391
13,0.1845,0.2055,0.9721,0.8835,0.6071,0.8209
14,0.1781,0.1996,0.9712,0.8885,0.6329,0.8309
15,0.1735,0.1962,0.9712,0.8886,0.628,0.8293
16,0.1654,0.1818,0.9723,0.8963,0.6497,0.8395
17,0.1644,0.1755,0.9725,0.8963,0.655,0.8413
18,0.168,0.1881,0.9702,0.8903,0.6365,0.8324
19,0.1562,0.1764,0.9724,0.8945,0.6565,0.8411
20,0.1556,0.1815,0.9724,0.8946,0.6447,0.8372
21,0.1689,0.1898,0.9703,0.8856,0.6224,0.8261
22,0.1694,0.2259,0.9699,0.8621,0.5137,0.7819
23,0.1806,0.1824,0.9712,0.8861,0.6345,0.8306
24,0.1748,0.2149,0.9686,0.8756,0.5561,0.8001
25,0.1637,0.174,0.9728,0.896,0.6532,0.8407
