epoch,train_loss,val_loss,iou_background,iou_crop,iou_weed,miou
1,0.6223,0.4445,0.8929,0.7608,0.2721,0.6419
2,0.4933,0.3941,0.9329,0.7818,0.4004,0.705
3,0.4142,0.3478,0.9525,0.8409,0.5204,0.7713
4,0.3485,0.3139,0.9315,0.8623,0.3848,0.7262
5,0.2928,0.2707,0.9527,0.8603,0.4736,0.7622
6,0.2391,0.228,0.9685,0.8786,0.5845,0.8105
7,0.2179,0.2065,0.9673,0.8719,0.6086,0.8159
8,0.1956,0.182,0.9712,0.8918,0.6235,0.8288
9,0.1767,0.1715,0.9684,0.8905,0.5928,0.8172
10,0.1608,0.1576,0.9697,0.8819,0.5774,0.8097
11,0.1508,0.1924,0.9717,0.8417,0.4477,0.7537
12,0.1442,0.1437,0.9696,0.8893,0.5997,0.8196
13,0.1406,0.1407,0.9713,0.8745,0.5808,0.8089
14,0.1279,0.1329,0.9721,0.8917,0.6257,0.8298
15,0.1177,0.1226,0.9722,0.8973,0.6431,0.8376
