epoch,train_loss,val_loss,iou_background,iou_crop,iou_weed,miou
1,0.6223,0.4445,0.8929,0.7608,0.2721,0.6419
2,0.4933,0.3941,0.9329,0.7818,0.4004,0.705
3,0.4142,0.3478,0.9525,0.841,0.5205,0.7713
4,0.3485,0.3131,0.9338,0.8609,0.394,0.7296
5,0.2901,0.267,0.9608,0.8688,0.5461,0.7919
6,0.2379,0.2246,0.968,0.8864,0.5962,0.8169
7,0.2203,0.2093,0.9679,0.8783,0.5799,0.8087
8,0.1961,0.1829,0.9711,0.8889,0.6221,0.8274
9,0.1778,0.1765,0.9719,0.883,0.6012,0.8187
10,0.1587,0.158,0.9711,0.8888,0.6152,0.825
11,0.1444,0.1438,0.972,0.8905,0.6254,0.8293
12,0.1373,0.1462,0.9724,0.8881,0.6077,0.8227
13,0.1311,0.135,0.9733,0.8933,0.6238,0.8301
14,0.1274,0.1277,0.9721,0.8934,0.6347,0.8334
15,0.1187,0.1273,0.9729,0.8896,0.6322,0.8316
16,0.1129,0.1223,0.973,0.8936,0.6417,0.8361
17,0.1114,0.1181,0.9735,0.8967,0.6456,0.8386
18,0.1113,0.1216,0.9721,0.8941,0.6312,0.8325
19,0.1051,0.1207,0.9718,0.8837,0.6186,0.8247
20,0.0989,0.1085,0.9739,0.8996,0.6579,0.8438
21,0.0979,0.1139,0.9727,0.8957,0.6319,0.8334
22,0.0906,0.1054,0.9735,0.8998,0.6602,0.8445
23,0.098,0.1116,0.9732,0.8969,0.6428,0.8376
24,0.0977,0.1072,0.9737,0.8952,0.6291,0.8327
25,0.0893,0.1046,0.9742,0.8997,0.6557,0.8432
