epoch,train_loss,val_loss,iou_background,iou_crop,iou_weed,miou
1,0.33,0.1732,0.9037,0.768,0.2443,0.6387
2,0.1421,0.0927,0.9638,0.835,0.4555,0.7514
3,0.0977,0.0671,0.9695,0.8654,0.5435,0.7928
4,0.0723,0.0519,0.9701,0.8725,0.5673,0.8033
5,0.0591,0.0463,0.9705,0.8783,0.5883,0.8124
6,0.0518,0.0401,0.9712,0.8857,0.5798,0.8122
7,0.0513,0.0377,0.9704,0.8909,0.5672,0.8095
8,0.0451,0.0355,0.9716,0.8908,0.6091,0.8238
9,0.0405,0.0331,0.9719,0.8908,0.6117,0.8248
10,0.0386,0.0323,0.9721,0.8883,0.6147,0.825
11,0.036,0.0301,0.9719,0.8867,0.6169,0.8252
12,0.036,0.0304,0.9716,0.8871,0.6175,0.8254
13,0.0341,0.0298,0.9724,0.8868,0.6038,0.821
14,0.0316,0.0281,0.9726,0.8896,0.6282,0.8301
15,0.0301,0.0277,0.9726,0.8888,0.6162,0.8259
16,0.0294,0.0308,0.9703,0.8777,0.582,0.81
17,0.0307,0.0265,0.9726,0.8934,0.6203,0.8288
18,0.036,0.028,0.9721,0.8902,0.616,0.8261
19,0.029,0.0268,0.9727,0.8946,0.6309,0.8327
20,0.0273,0.0256,0.9728,0.8959,0.6233,0.8307
21,0.0259,0.0242,0.9729,0.8948,0.6493,0.839
22,0.0234,0.0242,0.973,0.8973,0.6405,0.8369
23,0.0251,0.0241,0.9725,0.8966,0.6214,0.8302
24,0.0239,0.024,0.9735,0.8974,0.6439,0.8382
25,0.0231,0.0237,0.9734,0.8971,0.6503,0.8403
