epoch,train_loss,val_loss,iou_background,iou_crop,iou_weed,miou
1,0.8453,0.5913,0.9347,0.7413,0.3772,0.6844
2,0.5934,0.4759,0.9616,0.8311,0.5265,0.7731
3,0.4751,0.3934,0.9672,0.881,0.5633,0.8038
4,0.408,0.357,0.9609,0.8881,0.5397,0.7962
5,0.3682,0.321,0.9709,0.8837,0.5967,0.8171
6,0.3231,0.2918,0.9713,0.887,0.6107,0.823
7,0.2992,0.2662,0.9706,0.8939,0.6206,0.8284
8,0.2815,0.2563,0.9715,0.8884,0.6247,0.8282
9,0.2496,0.2402,0.9713,0.8957,0.632,0.833
10,0.2388,0.2257,0.9726,0.8958,0.6465,0.8383
11,0.2332,0.2248,0.9725,0.8925,0.6201,0.8284
12,0.2256,0.2175,0.9724,0.8924,0.6329,0.8326
13,0.2126,0.2099,0.9734,0.8912,0.6284,0.831
14,0.1969,0.1942,0.9722,0.9005,0.6459,0.8395
15,0.1888,0.1893,0.9725,0.8984,0.6488,0.8399
16,0.1802,0.1852,0.9734,0.8981,0.6568,0.8427
17,0.1913,0.1877,0.973,0.8923,0.6484,0.8379
18,0.182,0.1872,0.9738,0.8952,0.6413,0.8367
19,0.1752,0.1775,0.9736,0.8992,0.658,0.8436
20,0.1757,0.1832,0.9736,0.8948,0.6412,0.8365
21,0.1621,0.1748,0.9734,0.8973,0.66,0.8436
22,0.1551,0.1671,0.9736,0.9021,0.6699,0.8485
23,0.1604,0.1705,0.9735,0.8987,0.662,0.8447
24,0.1601,0.1781,0.9723,0.8968,0.6444,0.8378
25,0.171,0.1699,0.973,0.8989,0.6614,0.8444
