epoch,train_loss,val_loss,iou_background,iou_crop,iou_weed,miou
1,0.9477,0.6889,0.877,0.7769,0.237,0.6303
2,0.6604,0.5282,0.9593,0.8311,0.4718,0.7541
3,0.5506,0.46,0.9685,0.8777,0.5707,0.8057
4,0.4763,0.4287,0.9559,0.8848,0.5004,0.7804
5,0.4251,0.3828,0.9671,0.8724,0.5906,0.81
6,0.3769,0.3457,0.9705,0.8898,0.6179,0.8261
7,0.3489,0.3332,0.9712,0.8791,0.5807,0.8103
8,0.3181,0.3045,0.9722,0.8925,0.6344,0.833
9,0.3002,0.2829,0.971,0.8953,0.6315,0.8326
10,0.2646,0.2687,0.97,0.8969,0.626,0.831
11,0.2459,0.2474,0.9728,0.9004,0.6548,0.8427
12,0.225,0.2351,0.9727,0.899,0.6538,0.8418
13,0.2127,0.2261,0.973,0.8972,0.6453,0.8385
14,0.1988,0.2183,0.9724,0.8964,0.6455,0.8381
15,0.1885,0.2093,0.9727,0.8991,0.6472,0.8397
16,0.1724,0.2015,0.9738,0.8993,0.6572,0.8434
17,0.1684,0.1947,0.973,0.8962,0.6596,0.8429
18,0.1721,0.2044,0.9693,0.8751,0.6494,0.8313
19,0.1639,0.1921,0.9726,0.8931,0.6485,0.838
20,0.1526,0.1853,0.9735,0.8993,0.6585,0.8438
21,0.1526,0.1834,0.9728,0.9003,0.6578,0.8436
22,0.1425,0.2051,0.9723,0.873,0.622,0.8225
23,0.1596,0.2133,0.9729,0.8792,0.5906,0.8143
24,0.1652,0.1785,0.9736,0.9019,0.6549,0.8434
25,0.1813,0.2022,0.9709,0.8849,0.6118,0.8225
