epoch,train_loss,val_loss,iou_background,iou_crop,iou_weed,miou
1,0.9693,0.6963,0.8667,0.751,0.223,0.6136
2,0.661,0.5254,0.951,0.8463,0.4715,0.7563
3,0.5659,0.4514,0.9679,0.8761,0.588,0.8107
4,0.5021,0.4612,0.9563,0.8124,0.4399,0.7362
5,0.4515,0.3825,0.9684,0.8738,0.6042,0.8155
6,0.3934,0.3514,0.9712,0.8935,0.6204,0.8283
7,0.3862,0.3346,0.9718,0.8914,0.6053,0.8228
8,0.3496,0.3104,0.9709,0.8958,0.6307,0.8325
9,0.3325,0.2911,0.9696,0.8954,0.6129,0.826
10,0.3039,0.2711,0.9718,0.8965,0.6344,0.8342
11,0.2828,0.2563,0.9727,0.8985,0.6396,0.837
12,0.2727,0.257,0.9718,0.8824,0.6123,0.8222
13,0.2727,0.2405,0.9702,0.8931,0.633,0.8321
14,0.2419,0.228,0.9719,0.895,0.64,0.8356
15,0.2684,0.3016,0.9712,0.8395,0.4488,0.7531
16,0.2312,0.2134,0.9718,0.8997,0.6463,0.8392
17,0.2242,0.2043,0.9718,0.8999,0.6446,0.8388
18,0.2231,0.2023,0.972,0.8981,0.6512,0.8404
19,0.2135,0.1905,0.9729,0.9011,0.6629,0.8456
20,0.1935,0.1876,0.9729,0.9036,0.6611,0.8458
21,0.2074,0.1873,0.9727,0.9015,0.655,0.8431
22,0.1903,0.1859,0.9738,0.9011,0.6571,0.844
23,0.1932,0.1801,0.9733,0.9016,0.6583,0.8444
24,0.201,0.1824,0.973,0.8998,0.6454,0.8394
25,0.1921,0.1762,0.9721,0.8993,0.6618,0.8444
