epoch,train_loss,val_loss,iou_background,iou_crop,iou_weed,miou
1,0.9675,0.67,0.8894,0.7764,0.2162,0.6273
2,0.6632,0.5075,0.9634,0.8622,0.5127,0.7794
3,0.588,0.4619,0.9684,0.8721,0.5659,0.8021
4,0.5025,0.4484,0.9519,0.8492,0.4444,0.7485
5,0.4491,0.3792,0.9696,0.8759,0.5912,0.8122
6,0.3977,0.3469,0.9709,0.8924,0.6195,0.8276
7,0.3732,0.3302,0.9716,0.886,0.6107,0.8228
8,0.3508,0.3172,0.9705,0.8858,0.6081,0.8215
9,0.3396,0.2862,0.971,0.8888,0.6168,0.8255
10,0.3098,0.2735,0.9715,0.8893,0.6293,0.83
11,0.2938,0.2629,0.9724,0.8904,0.6289,0.8306
12,0.268,0.2503,0.9703,0.8966,0.6215,0.8295
13,0.2652,0.2349,0.9718,0.897,0.6387,0.8358
14,0.2483,0.2271,0.9722,0.8988,0.6442,0.8384
15,0.2464,0.2257,0.9721,0.8907,0.6203,0.8277
16,0.2446,0.214,0.9727,0.8959,0.6449,0.8378
17,0.2359,0.2027,0.9734,0.8992,0.6522,0.8416
18,0.2287,0.207,0.9713,0.8975,0.6384,0.8357
19,0.2157,0.2118,0.9713,0.8863,0.6325,0.83
20,0.1999,0.1888,0.9737,0.9014,0.6578,0.8443
21,0.2077,0.1911,0.9717,0.8909,0.6509,0.8379
22,0.2006,0.187,0.9734,0.8968,0.6502,0.8401
23,0.2,0.1854,0.9735,0.8962,0.6514,0.8404
24,0.2126,0.1848,0.9735,0.8972,0.643,0.8379
25,0.205,0.1838,0.9729,0.8974,0.657,0.8424
26,0.1874,0.1728,0.9739,0.9031,0.6713,0.8494
27,0.1902,0.181,0.9717,0.8971,0.6449,0.8379
28,0.1807,0.1729,0.9739,0.9019,0.6688,0.8482
29,0.1937,0.1714,0.9729,0.8991,0.6623,0.8448
30,0.1811,0.1743,0.9737,0.8977,0.6531,0.8415
31,0.1884,0.1827,0.9732,0.8899,0.6196,0.8276
32,0.1754,0.1711,0.9734,0.9013,0.6576,0.8441
33,0.1817,0.1712,0.9732,0.9018,0.6552,0.8434
34,0.1809,0.1662,0.9735,0.9032,0.6615,0.8461
35,0.1772,0.1735,0.9733,0.8972,0.6447,0.8384
